Date,Open,High,Low,Close
2009-10-28,5200.97,5200.97,5074.11,5080.42
2009-10-29,5080.42,5145.58,5042.66,5137.72
2009-10-30,5137.72,5169.85,5024.43,5044.55
2009-11-02,5044.55,5115.7,5022.52,5104.5
2009-11-03,5104.5,5104.5,4985.09,5037.21
2009-11-04,5037.21,5120.82,5037.21,5107.89
2009-11-05,5107.14,5154.63,5036.91,5125.64
2009-11-06,5125.64,5159.04,5077.86,5142.72
2009-11-09,5142.72,5240.02,5142.72,5235.18
2009-11-10,5235.18,5264.32,5221.51,5230.55
2009-11-11,5266.75,5266.75,5266.75,5266.75
2009-11-12,5266.75,5304.94,5254.11,5276.5
2009-11-13,5276.5,5297.44,5251.27,5296.38
2009-11-16,5296.38,5396.96,5296.38,5382.67
2009-11-17,5382.67,5382.67,5337.01,5345.93
2009-11-18,5345.93,5372.1,5331.64,5342.13
2009-11-19,5342.13,5343.82,5254.18,5267.7
2009-11-20,5267.7,5309.39,5224.01,5251.41
2009-11-23,5251.41,5379.48,5251.41,5355.5
2009-11-24,5355.5,5374.89,5309.13,5323.96
2009-11-25,5323.96,5372.22,5323.96,5364.81
2009-11-26,5364.81,5364.81,5189.38,5194.13
2009-11-27,5194.13,5270.99,5103.78,5245.73
2009-11-30,5245.73,5270.36,5190.68,5190.68
2009-12-01,5190.68,5312.17,5190.68,5312.17
2009-12-02,5312.17,5348.15,5283.5,5327.39
2009-12-03,5327.39,5372.18,5312.08,5313.0
2009-12-04,5313.0,5373.21,5272.89,5322.36
2009-12-07,5322.36,5328.28,5251.76,5310.66
2009-12-08,5310.66,5323.26,5206.57,5223.13
2009-12-09,5223.13,5245.05,5177.44,5203.89
2009-12-10,5203.89,5254.21,5194.49,5244.37
2009-12-11,5244.37,5311.22,5244.37,5261.57
2009-12-14,5261.57,5329.71,5261.57,5315.34
2009-12-15,5315.34,5327.53,5251.31,5285.77
2009-12-16,5285.77,5334.71,5283.91,5320.26
2009-12-17,5320.26,5320.26,5217.61,5217.61
2009-12-18,5217.61,5287.55,5196.81,5196.81
2009-12-21,5196.81,5319.92,5196.81,5293.99
2009-12-22,5293.99,5361.73,5293.99,5328.66
2009-12-23,5328.66,5386.46,5328.66,5372.38
2009-12-24,5372.38,5402.41,5368.1,5402.41
2009-12-29,5402.41,5445.17,5402.41,5437.61
2009-12-30,5437.61,5442.41,5390.58,5397.86
2009-12-31,5397.86,5431.9,5390.6,5412.88
2010-01-04,5412.88,5500.34,5412.88,5500.34
2010-01-05,5500.34,5536.32,5480.8,5522.5
2010-01-06,5522.5,5536.43,5497.76,5530.04
2010-01-07,5530.04,5551.66,5500.35,5526.72
2010-01-08,5526.72,5549.17,5494.79,5534.24
2010-01-11,5534.24,5600.4,5527.9,5538.07
2010-01-12,5538.07,5549.56,5460.23,5498.71
2010-01-13,5498.71,5509.59,5451.13,5473.48
2010-01-14,5473.48,5520.69,5473.48,5498.2
